City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,fecamp,49.7579,0.3746,280.64,77,9,5.15,FR,1669903549
286,batesville,35.7698,-91.641,271.95,92,0,0.0,US,1669903607
287,tiksi,71.6872,128.8694,248.32,97,100,5.85,RU,1669903608
288,maragogi,-9.0122,-35.2225,302.06,63,83,6.99,BR,1669903608
289,mazatlan,23.2167,-106.4167,295.32,89,40,2.06,MX,1669903608
290,waidhofen,48.5833,11.3333,278.44,89,75,2.06,DE,1669903608
291,kupang,-10.1667,123.5833,299.75,82,97,1.44,ID,1669903609
292,mar del plata,-38.0023,-57.5575,290.9,96,100,7.15,AR,1669903609
293,vostok,46.4856,135.8833,249.5,97,100,2.09,RU,1669903610
294,george,-33.963,22.4617,293.6,75,97,2.81,ZA,1669903585
295,huntsville,34.7304,-86.5861,275.83,65,0,3.09,US,1669903610
296,hofn,64.2539,-15.2082,277.16,100,75,3.6,IS,1669903610
297,katsuura,35.1333,140.3,284.61,85,100,5.58,JP,1669903610
298,havelock,34.8791,-76.9013,281.12,48,0,6.17,US,1669903611
299,maniitsoq,65.4167,-52.9,263.3,77,100,3.43,GL,1669903611
300,thompson,55.7435,-97.8558,247.47,92,100,0.92,CA,1669903611
301,ayolas,-27.4,-56.9,305.73,44,0,1.03,PY,1669903612
302,straumen,63.8709,11.2999,271.15,77,12,1.52,NO,1669903612
303,road town,18.4167,-64.6167,301.2,63,0,7.9,VG,1669903517
304,gwadar,25.1216,62.3254,298.4,40,100,2.82,PK,1669903612
305,san buenaventura,27.0833,-101.5333,285.64,71,75,0.0,MX,1669903612
306,broome,42.2506,-75.833,273.64,71,100,5.66,US,1669903612
307,codrington,-38.2667,141.9667,282.49,88,2,3.41,AU,1669903613
308,fort nelson,58.8053,-122.7002,247.45,97,65,0.14,CA,1669903613
309,lodja,-3.4833,23.4333,296.88,92,100,1.59,CD,1669903613
310,ostrovnoy,68.0531,39.5131,271.3,94,100,3.97,RU,1669903614
311,coari,-4.085,-63.1414,303.53,63,40,2.39,BR,1669903614
312,poopo,-18.3667,-66.9667,284.58,14,0,4.11,BO,1669903614
313,pisco,-13.7,-76.2167,294.18,73,0,3.6,PE,1669903614
314,oksfjord,70.2396,22.3479,275.25,96,98,1.01,NO,1669903615
315,opuwo,-18.0607,13.84,309.92,14,77,7.7,NA,1669903615
316,doha,25.2867,51.5333,300.32,61,0,3.6,QA,1669903442
317,andenes,69.3143,16.1194,277.14,87,75,2.57,NO,1669903615
318,klaksvik,62.2266,-6.589,282.66,99,100,3.94,FO,1669903615
319,petropavlovsk-kamchatskiy,53.0452,158.6483,264.26,80,28,2.68,RU,1669903616
320,narsaq,60.9167,-46.05,270.27,85,12,2.02,GL,1669903616
321,ayagoz,47.9714,80.4392,265.83,95,100,4.84,KZ,1669903616
322,verkhnyaya inta,65.9811,60.3094,251.1,100,77,2.21,RU,1669903617
323,matagami,49.7502,-77.6328,267.21,86,100,8.75,CA,1669903617
324,mandawar,29.5,78.1333,291.26,37,8,1.65,IN,1669903617
325,potrero del llano,21.05,-97.6833,291.17,91,99,2.65,MX,1669903617
326,lichtenburg,-26.152,26.1597,304.75,18,47,2.39,ZA,1669903617
327,albacete,38.8333,-2.0,284.92,58,20,3.6,ES,1669903618
328,byron bay,-28.65,153.6167,289.23,93,100,8.08,AU,1669903428
329,tessalit,20.1986,1.0114,302.48,12,99,3.64,ML,1669903618
330,staraya poltavka,50.4772,46.4814,269.12,68,6,2.92,RU,1669903618
331,gornopravdinsk,60.05,69.9,248.44,94,11,0.56,RU,1669903618
332,tocopilla,-22.092,-70.1979,293.72,66,4,3.03,CL,1669903619
333,bhandara,21.1667,79.65,293.99,49,100,0.77,IN,1669903619
334,nanfeng,23.7434,111.7959,279.27,74,100,2.44,CN,1669903619
335,kodyma,48.0988,29.1246,272.36,73,98,3.36,UA,1669903619
336,serdobsk,52.4586,44.2169,269.09,62,12,2.26,RU,1669903619
337,jumla,29.2747,82.1838,279.58,43,0,2.21,NP,1669903620
338,jiazi,22.8779,116.067,287.3,74,100,5.78,CN,1669903620
339,igrim,63.1906,64.4162,250.07,100,7,1.13,RU,1669903620
340,bandraboua,-12.7044,45.1223,302.97,68,18,2.32,YT,1669903620
341,manokwari,-0.8667,134.0833,298.85,82,100,2.09,ID,1669903620
342,omboue,-1.5746,9.2618,301.78,74,100,3.36,GA,1669903621
